date,base_rate,mortgage_rate,trade_volume
2015-01-01,2,3.35,8227
2015-02-01,2,3.23,10085
2015-03-01,1.75,2.91,15689
2015-04-01,1.75,2.78,16107
2015-05-01,1.75,3.12,15673
2015-06-01,1.5,3.11,14497
2015-07-01,1.5,3.1,15332
2015-08-01,1.5,3.06,12605
2015-09-01,1.5,2.97,10928
2015-10-01,1.5,2.91,13701
2015-11-01,1.5,3.08,12691
2015-12-01,1.5,3.14,10802
2016-01-01,1.5,3.11,7589
2016-02-01,1.5,2.98,7520
2016-03-01,1.5,2.95,10472
2016-04-01,1.5,2.91,11129
2016-05-01,1.5,2.88,13094
2016-06-01,1.25,2.76,14762
2016-07-01,1.25,2.66,17633
2016-08-01,1.25,2.69,16519
2016-09-01,1.25,2.79,13637
2016-10-01,1.25,2.86,16319
2016-11-01,1.25,3.06,13838
2016-12-01,1.25,3.17,12540
2017-01-01,1.25,3.19,7720
2017-02-01,1.25,3.2,8064
2017-03-01,1.25,3.23,9979
2017-04-01,1.25,3.26,12276
2017-05-01,1.25,3.32,14593
2017-06-01,1.25,3.27,19044
2017-07-01,1.25,3.31,18541
2017-08-01,1.25,3.32,22647
2017-09-01,1.25,3.29,14688
2017-10-01,1.25,3.41,9090
2017-11-01,1.5,3.46,11616
2017-12-01,1.5,3.46,16955
2018-01-01,1.5,3.54,18212
2018-02-01,1.5,3.57,15305
2018-03-01,1.5,3.58,20673
2018-04-01,1.5,3.57,10130
2018-05-01,1.5,3.62,12312
2018-06-01,1.5,3.57,9013
2018-07-01,1.5,3.5,13648
2018-08-01,1.5,3.39,13182
2018-09-01,1.5,3.3,17564
2018-10-01,1.5,3.3,16609
2018-11-01,1.75,3.25,7848
2018-12-01,1.75,3.16,6590
2019-01-01,1.75,3.08,7000
2019-02-01,1.75,3.05,4625
2019-03-01,1.75,3.01,6464
2019-04-01,1.75,2.93,6275
2019-05-01,1.75,2.87,7278
2019-06-01,1.75,2.69,11205
2019-07-01,1.5,2.6,13597
2019-08-01,1.5,2.43,13960
2019-09-01,1.5,2.45,11483
2019-10-01,1.25,2.42,14393
2019-11-01,1.25,2.35,15032
2019-12-01,1.25,2.35,18298
2020-01-01,1.25,2.42,17545
2020-02-01,1.25,2.47,16515
2020-03-01,0.75,2.43,15521
2020-04-01,0.75,2.55,7332
2020-05-01,0.5,2.52,9767
2020-06-01,0.5,2.52,15761
2020-07-01,0.5,2.5,24038
2020-08-01,0.5,2.43,12277
2020-09-01,0.5,2.46,13207
2020-10-01,0.5,2.46,10276
2020-11-01,0.5,2.52,10548
2020-12-01,0.5,2.51,14060
2021-01-01,0.5,2.57,14004
2021-02-01,0.5,2.62,8804
2021-03-01,0.5,2.71,8336
2021-04-01,0.5,2.71,11709
2021-05-01,0.5,2.74,9428
2021-06-01,0.5,2.83,7421
2021-07-01,0.5,2.92,7848
2021-08-01,0.75,2.98,6655
2021-09-01,0.75,3.11,5759
2021-10-01,0.75,3.38,4316
2021-11-01,1,3.55,4437
2021-12-01,1,3.58,4931
2022-01-01,1.25,3.83,4461
2022-02-01,1.25,3.88,3571
2022-03-01,1.25,3.84,3926
2022-04-01,1.5,3.98,3508
2022-05-01,1.75,4.02,4835
2022-06-01,1.75,4.17,4168
2022-07-01,2.25,4.22,4651
2022-08-01,2.5,4.36,2739
2022-09-01,2.5,4.86,1773
2022-10-01,3,4.82,2087
2022-11-01,3.25,4.63,2140
2022-12-01,3.25,4.5,3348
2023-01-01,3.5,4.48,4529
2023-02-01,3.5,4.5,10226
2023-03-01,3.5,4.35,6225
2023-04-01,3.5,4.21,5296
2023-05-01,3.5,4.18,12001
2023-06-01,3.5,4.23,6506
2023-07-01,3.5,4.25,7626
2023-08-01,3.5,4.28,5830
2023-09-01,3.5,4.33,6938
2023-10-01,3.5,4.55,6605
2023-11-01,3.5,4.43,6135
2023-12-01,3.5,4.09,6005
2024-01-01,3.5,3.94,5995
2024-02-01,3.5,3.93,5024
2024-03-01,3.5,3.9,4464
2024-04-01,3.5,3.91,6725
2024-05-01,3.5,3.89,6833
2024-06-01,3.5,3.69,8845
2024-07-01,3.5,3.48,12757
2024-08-01,3.5,3.49,10487
2024-09-01,3.5,3.72,9190
2024-10-01,3.25,4.04,6926
2024-11-01,3,4.31,6765
2024-12-01,3,4.23,7291
2025-01-01,3,4.26,7287
2025-02-01,2.75,4.22,8830
2025-03-01,2.75,4.15,13592
2025-04-01,2.75,3.96,10555
2025-05-01,2.5,3.86,8663
2025-06-01,2.5,3.92,12665
2025-07-01,2.5,3.95,12448
2025-08-01,2.5,3.94,6922
2025-09-01,2.5,3.94,8750
2025-10-01,2.5,3.97,12677
2025-11-01,2.5,4.17,6084
2025-12-01,2.5,4.22,7956
