date,trade_volume
2015-01-01,8227
2015-02-01,10085
2015-03-01,15689
2015-04-01,16107
2015-05-01,15673
2015-06-01,14497
2015-07-01,15332
2015-08-01,12605
2015-09-01,10928
2015-10-01,13701
2015-11-01,12691
2015-12-01,10802
2016-01-01,7589
2016-02-01,7520
2016-03-01,10472
2016-04-01,11129
2016-05-01,13094
2016-06-01,14762
2016-07-01,17633
2016-08-01,16519
2016-09-01,13637
2016-10-01,16319
2016-11-01,13838
2016-12-01,12540
2017-01-01,7720
2017-02-01,8064
2017-03-01,9979
2017-04-01,12276
2017-05-01,14593
2017-06-01,19044
2017-07-01,18541
2017-08-01,22647
2017-09-01,14688
2017-10-01,9090
2017-11-01,11616
2017-12-01,16955
2018-01-01,18212
2018-02-01,15305
2018-03-01,20673
2018-04-01,10130
2018-05-01,12312
2018-06-01,9013
2018-07-01,13648
2018-08-01,13182
2018-09-01,17564
2018-10-01,16609
2018-11-01,7848
2018-12-01,6590
2019-01-01,7000
2019-02-01,4625
2019-03-01,6464
2019-04-01,6275
2019-05-01,7278
2019-06-01,11205
2019-07-01,13597
2019-08-01,13960
2019-09-01,11483
2019-10-01,14393
2019-11-01,15032
2019-12-01,18298
2020-01-01,17545
2020-02-01,16515
2020-03-01,15521
2020-04-01,7332
2020-05-01,9767
2020-06-01,15761
2020-07-01,24038
2020-08-01,12277
2020-09-01,13207
2020-10-01,10276
2020-11-01,10548
2020-12-01,14060
2021-01-01,14004
2021-02-01,8804
2021-03-01,8336
2021-04-01,11709
2021-05-01,9428
2021-06-01,7421
2021-07-01,7848
2021-08-01,6655
2021-09-01,5759
2021-10-01,4316
2021-11-01,4437
2021-12-01,4931
2022-01-01,4461
2022-02-01,3571
2022-03-01,3926
2022-04-01,3508
2022-05-01,4835
2022-06-01,4168
2022-07-01,4651
2022-08-01,2739
2022-09-01,1773
2022-10-01,2087
2022-11-01,2140
2022-12-01,3348
2023-01-01,4529
2023-02-01,10226
2023-03-01,6225
2023-04-01,5296
2023-05-01,12001
2023-06-01,6506
2023-07-01,7626
2023-08-01,5830
2023-09-01,6938
2023-10-01,6605
2023-11-01,6135
2023-12-01,6005
2024-01-01,5995
2024-02-01,5024
2024-03-01,4464
2024-04-01,6725
2024-05-01,6833
2024-06-01,8845
2024-07-01,12757
2024-08-01,10487
2024-09-01,9190
2024-10-01,6926
2024-11-01,6765
2024-12-01,7291
2025-01-01,7287
2025-02-01,8830
2025-03-01,13592
2025-04-01,10555
2025-05-01,8663
2025-06-01,12665
2025-07-01,12448
2025-08-01,6922
2025-09-01,8750
2025-10-01,12677
2025-11-01,6084
2025-12-01,7956
